Symbol,"Expiry
Date","Last
Price",Change,"Chge
%","High
Low","Average
Price","Vol - Shares
 								Contracts","Value
(Rs. Lakh)","Open
Interest",Open Int Chg
CHAMBLFERT,25-May-23,276.00,1.05,0.38%,"276.00
 								276.00",276.00,"1,500
 								1",4.14,"36,000","1,500
 4.35%"
INDIGO,25-May-23,"1,917.00",27.30,1.44%,"1,917.00
 								1,904.75","1,912.08","1,500
 								5",28.68,"8,100","0
 0.00%"
DALBHARAT,25-May-23,"1,852.95",-76.30,-3.95%,"1,852.95
 								1,852.40","1,852.58","1,500
 								3",27.79,"1,500","1,500
 0.00%"
SUNTV,25-May-23,443.50,8.95,2.06%,"443.50
 								443.50",443.50,"1,500
 								1",6.65,"10,500","0
 0.00%"
INDIAMART,25-May-23,"4,940.00",-61.15,-1.22%,"5,037.00
 								4,940.00","4,982.65","1,350
 								9",67.27,"3,150","300
 10.53%"
GNFC,25-May-23,543.30,-0.70,-0.13%,"543.30
 								543.30",543.30,"1,300
 								1",7.06,"26,000","0
 0.00%"
ABB,25-May-23,"3,318.00",-84.95,-2.50%,"3,325.00
 								3,318.00","3,321.00","1,250
 								5",41.51,"6,250","250
 4.17%"
MRF,27-Apr-23,"84,180.40",410.15,0.49%,"84,400.00
 								83,679.30","84,064.47","1,190
 								119","1,000.37","6,080","280
 4.83%"
ASTRAL,25-May-23,"1,355.30",25.30,1.90%,"1,355.30
 								1,350.00","1,353.01","1,101
 								4",14.90,"9,175","1,101
 13.64%"
BHARATFORG,25-May-23,791.90,0.90,0.11%,"791.90
 								791.90",791.90,"1,000
 								1",7.92,"13,000","1,000
 8.33%"
BATAINDIA,25-May-23,"1,435.05",4.05,0.28%,"1,435.50
 								1,435.00","1,435.18","825
 								3",11.84,"17,875","275
 1.56%"
BRITANNIA,25-May-23,"4,275.00",-32.55,-0.76%,"4,300.00
 								4,275.00","4,290.00","800
 								4",34.32,"6,400","-200
 -3.03%"
DEEPAKNTR,25-May-23,"1,823.00",11.20,0.62%,"1,826.00
 								1,822.00","1,823.66","750
 								3",13.68,"16,250","750
 4.84%"
IPCALAB,25-May-23,780.90,-8.10,-1.03%,"780.90
 								780.90",780.90,"650
 								1",5.08,"5,200","650
 14.29%"
DRREDDY,25-May-23,"4,530.00",36.95,0.82%,"4,530.00
 								4,503.00","4,524.60","625
 								5",28.28,"3,875","-375
 -8.82%"
DIXON,25-May-23,"2,916.85",-13.90,-0.47%,"2,940.00
 								2,908.55","2,924.44","625
 								5",18.28,"8,250","125
 1.54%"
HDFC,25-May-23,"2,611.50",-8.85,-0.34%,"2,611.50
 								2,603.45","2,607.47","600
 								2",15.64,"15,900","300
 1.92%"
COFORGE,25-May-23,"3,752.75",-28.40,-0.75%,"3,777.35
 								3,752.75","3,768.53","600
 								4",22.61,"6,000","300
 5.26%"
NAVINFLUOR,25-May-23,"4,205.00",-12.95,-0.31%,"4,213.40
 								4,202.85","4,208.66","600
 								4",25.25,"1,650","600
 57.14%"
ICICIGI,25-May-23,"1,098.00",-11.80,-1.06%,"1,098.00
 								1,098.00","1,098.00","425
 								1",4.67,"2,975","425
 16.67%"
PVR,25-May-23,"1,581.50",1.45,0.09%,"1,581.50
 								1,581.50","1,581.50","407
 								1",6.44,"15,466","0
 0.00%"
ALKEM,25-May-23,"3,180.00",-8.90,-0.28%,"3,180.00
 								3,175.00","3,177.50","400
 								2",12.71,800,"400
 100.00%"
NAUKRI,25-May-23,"3,542.00",32.00,0.91%,"3,560.00
 								3,542.00","3,550.66","375
 								3",13.31,"2,500","-125
 -4.76%"
ESCORTS,25-May-23,"1,899.35",-5.65,-0.30%,"1,899.35
 								1,899.35","1,899.35","275
 								1",5.22,"4,950","275
 5.88%"
FINNIFTY,30-May-23,"18,045.05",236.35,1.33%,"18,179.85
 								18,045.05","18,076.43","240
 								5",43.38,480,"80
 20.00%"
ABBOTINDIA,25-May-23,"21,700.00",620.00,2.94%,"21,700.00
 								21,600.00","21,633.33","120
 								3",25.96,200,"120
 150.00%"
PAGEIND,25-May-23,"39,110.00",98.25,0.25%,"39,110.00
 								38,789.65","38,986.45","60
 								4",23.39,285,"0
 0.00%"
NESTLEIND,25-May-23,"19,086.20",-114.80,-0.60%,"19,086.20
 								19,086.20","19,086.20","40
 								1",7.63,400,"40
 11.11%"
MRF,25-May-23,"83,879.65",79.65,0.10%,"83,879.65
 								83,879.65","83,879.65","10
 								1",8.39,370,"10
 2.78%"
